"","1A _DLD1_P_Gree_03.#m4_","1B_DLD1_P_Gree_04.#m4_","1C_DLD1_P_Gree_05.#m4_","1D_DLD1_P_Gree_06.#m4_","2A_DLD1_P_Gree_07.#m4_","2B_DLD1_P_Gree_08.#m4_","2C_DLD1_P_Gree_09.#m4_","2D_DLD1 _P_Gree_10.#m4_","3A_DLD1 _P_Gree_11.#m4_","3B_DLD1 _P_Gree_12.#m4_","3C_DLD1 _P_Gree_13.#m4_","3D DLD-1_P_Gree_03.#m4_","4A DLD-1_P_Gree_04.#m4_","4B DLD-1_P_Gree_05.#m4_","4C DLD-1_P_Gree_07.#m4_","4D DLD-1_P_Gree_08.#m4_"
"Bin Diameter (Center)","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff."
"um","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
25.39,3,7,6,6,7,10,6,6,13,2,6,11,6,4,2,1
25.47,7,2,6,4,6,8,4,6,9,9,7,11,5,0,2,5
25.55,2,1,6,5,4,6,9,2,7,8,4,10,1,4,3,1
25.62,5,1,7,4,10,6,3,4,9,6,8,12,3,7,3,5
25.70,4,5,1,4,6,2,5,7,15,8,8,12,6,2,1,6
25.78,5,3,2,2,3,8,3,3,3,4,5,6,4,2,2,2
25.86,1,4,6,3,7,5,6,5,1,5,7,8,6,3,2,1
25.93,4,1,0,2,5,7,10,4,4,3,10,14,2,5,3,3
26.01,7,1,3,3,11,4,3,5,4,4,6,11,7,5,2,3
26.09,6,6,4,7,9,8,3,3,7,6,4,9,2,2,2,4
26.17,4,1,4,3,5,6,0,4,9,7,4,3,2,2,1,9
26.24,3,4,3,6,4,4,6,8,6,6,6,10,7,3,6,4
26.32,3,1,3,0,6,11,3,7,3,10,8,15,4,5,0,6
26.40,2,2,4,5,2,5,3,5,5,5,5,8,1,4,5,0
26.48,4,2,2,3,7,15,2,7,1,3,2,2,4,3,4,2
26.55,2,2,2,1,7,8,5,1,3,1,2,3,1,1,2,2
26.63,2,3,3,1,3,8,0,3,5,9,2,10,4,5,5,3
26.71,1,3,2,3,7,5,3,5,3,4,3,8,4,4,1,1
26.79,2,1,1,2,7,3,1,4,4,4,10,4,3,5,1,3
26.86,3,2,3,0,3,1,2,3,6,3,5,12,2,6,2,6
26.94,1,1,4,2,3,6,3,4,5,4,5,7,1,3,2,4
27.02,4,0,1,3,3,6,6,6,2,4,3,6,3,5,0,2
27.10,1,2,2,3,4,2,3,1,3,3,4,9,3,1,4,4
27.17,1,1,3,2,3,9,4,2,5,4,5,5,5,4,1,3
27.25,2,2,0,1,5,1,0,1,4,2,2,5,4,1,3,4
27.33,2,2,1,6,4,3,2,4,2,2,5,7,8,1,3,0
27.41,6,0,2,2,5,5,1,0,4,3,0,8,4,2,1,5
