"","A1_Caco-2_CO_P_Gree_03 (1).#m4_","A1_Caco-2_CO_P_Gree_03.#m4_","A2_Caco-2_0._P_Gree_07.#m4_","A3_Caco-2_1_P_Gree_11.#m4_","A4_Caco-2_5_P_Gree_03.#m4_","B1_Caco-2_CO_P_Gree_04.#m4_","B2_Caco-2_0._P_Gree_08.#m4_","B3_Caco-2_1_P_Gree_12.#m4_","B4_Caco-2_5_P_Gree_04.#m4_","C1_Caco-2_CO_P_Gree_05.#m4_","C2_Caco-2_0._P_Gree_09.#m4_","C3_Caco-2_1_P_Gree_13.#m4_","C4_Caco-2_5_P_Gree_05.#m4_"
"Bin Diameter (Center)","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff."
"um","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
33.06,1,1,0,1,2,0,1,2,0,1,3,0,0
33.14,5,5,2,0,1,1,1,2,0,1,0,1,1
33.22,3,3,1,3,1,0,0,3,0,0,1,5,1
33.30,1,1,2,1,1,1,0,2,1,0,3,1,0
33.37,0,0,1,1,1,2,0,1,0,1,1,0,1
33.45,2,2,1,1,1,0,0,3,0,0,3,0,0
33.53,0,0,0,0,0,1,1,1,0,3,0,2,0
33.61,1,1,2,0,1,0,4,2,1,0,0,0,1
33.68,1,1,0,1,0,0,0,1,0,0,2,1,0
33.76,0,0,3,1,2,1,1,0,1,0,3,2,0
33.84,1,1,2,2,1,0,2,4,0,0,1,4,1
33.92,0,0,1,1,0,0,1,1,0,1,1,3,0
33.99,1,1,0,1,0,1,0,0,0,1,2,0,0
34.07,4,4,1,0,1,1,1,0,0,1,2,2,1
34.15,1,1,0,0,0,0,0,1,1,0,0,1,1
34.23,1,1,1,2,0,0,2,0,0,1,4,3,0
34.30,0,0,1,0,0,1,0,1,0,0,2,0,1
34.38,2,2,4,1,0,0,1,4,0,2,0,0,1
34.46,1,1,0,1,0,1,4,0,1,3,0,1,0
34.54,1,1,0,0,0,1,1,0,0,1,3,0,1
34.61,0,0,0,1,0,0,0,3,0,0,1,0,0
34.69,1,1,1,1,0,0,1,0,0,1,1,0,1
34.77,1,1,1,2,0,0,0,0,0,0,1,2,0
34.85,0,0,0,0,0,0,0,1,0,0,1,0,1
34.92,1,1,0,2,2,1,0,2,0,0,1,0,0
35.00,1,1,0,0,0,0,1,0,0,1,1,0,0
35.08,0,0,1,0,1,2,0,2,1,1,0,2,1
35.16,0,0,0,0,0,0,1,1,0,0,1,1,1
35.23,2,2,0,1,0,1,1,2,0,0,2,1,0
35.31,0,0,0,0,0,2,0,1,0,1,1,0,0
35.39,4,4,1,0,1,2,0,1,0,1,0,0,0
35.47,0,0,0,1,0,1,1,3,0,1,1,1,1
35.54,1,1,0,0,0,1,0,2,0,1,0,1,0
35.62,0,0,0,0,1,1,0,0,0,0,0,0,2
35.70,0,0,1,0,1,0,0,0,0,1,2,0,0
35.78,1,1,0,0,1,0,1,4,2,1,1,0,1
35.85,0,0,0,0,2,0,0,0,0,0,1,1,0
35.93,0,0,0,1,2,0,0,1,0,0,0,0,2
36.01,0,0,1,0,2,0,0,2,1,0,1,0,1
36.09,0,0,0,0,0,1,0,0,1,0,2,0,0
36.16,0,0,0,0,0,0,0,0,1,0,1,0,1
36.24,1,1,0,1,1,1,0,1,1,1,2,0,2
36.32,1,1,0,0,1,2,1,0,0,1,3,0,0
36.40,0,0,0,1,0,1,0,3,1,0,1,0,0
36.47,0,0,0,0,0,0,0,0,1,0,0,1,0
